Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513406,1603.071,1,OK,0.0983325,-0.0746366,-0.9923508,0.0000000,159.849,2.128,-137.616,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513414,1603.096,1,OK,0.0982962,-0.0734847,-0.9924404,0.0000000,159.837,2.092,-137.605,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513422,1603.121,1,OK,0.0983532,-0.0749693,-0.9923237,0.0000000,159.831,2.131,-137.602,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513430,1603.146,1,OK,0.0984100,-0.0764533,-0.9922048,0.0000000,159.824,2.171,-137.600,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513438,1603.171,1,OK,0.0983887,-0.0772440,-0.9921457,0.0000000,159.831,2.187,-137.594,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513446,1603.196,1,OK,0.0983437,-0.0780830,-0.9920845,0.0000000,159.843,2.216,-137.587,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513454,1603.221,1,OK,0.0983328,-0.0781250,-0.9920822,0.0000000,159.849,2.231,-137.583,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513462,1603.246,1,OK,0.0982624,-0.0779515,-0.9921028,0.0000000,159.858,2.236,-137.572,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513470,1603.271,1,OK,0.0982388,-0.0792158,-0.9920050,0.0000000,159.886,2.283,-137.587,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513478,1603.295,1,OK,0.0981081,-0.0807934,-0.9918907,0.0000000,159.917,2.328,-137.570,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513486,1603.320,1,OK,0.0982338,-0.0796150,-0.9919736,0.0000000,159.898,2.301,-137.590,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513494,1603.345,1,OK,0.0982216,-0.0807829,-0.9918804,0.0000000,159.914,2.335,-137.595,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513502,1603.370,1,OK,0.0982130,-0.0785212,-0.9920628,0.0000000,159.906,2.281,-137.601,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513510,1603.395,1,OK,0.0982993,-0.0759683,-0.9922530,0.0000000,159.889,2.237,-137.619,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513518,1603.420,1,OK,0.0982194,-0.0782353,-0.9920848,0.0000000,159.910,2.292,-137.601,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513526,1603.445,1,OK,0.0981989,-0.0775555,-0.9921402,0.0000000,159.924,2.283,-137.610,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,513534,1603.470,1,OK,0.0982034,-0.0763320,-0.9922346,0.0000000,159.921,2.255,-137.616,0.0000000,0
